"concept_id","current_domain_id","current_module_id","current_label_zh","current_semantic_kind","current_primary_parent_relation_id","current_depth","current_root_status","lexical_family","definition_family","decision","target_domain_id","target_module_id","proposed_label_zh","proposed_semantic_kind","proposed_primary_parent_relation_id","proposed_backbone_relation_id","convert_to_field_of","convert_to_allowed_value_of","merge_into_id","split_into_ids","required_relation_changes","owner_rationale","source_ids","positive_example_id","boundary_example_id","domain_reviewer","ontology_reviewer","language_reviewer","review_status"
"EmbeddingRun","memory-plane","memory-embedding-indexes","嵌入运行","activity","EmbeddingRun-is_a-IndexActivity","1","","嵌入运行","activity","keep","memory-plane","memory-embedding-indexes","嵌入运行","activity","EmbeddingRun-is_a-IndexActivity","EmbeddingRun-is_a-IndexActivity","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","EmbeddingRun-example-positive-001","EmbeddingRun-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"EmbeddingVector","memory-plane","memory-embedding-indexes","嵌入向量","information","EmbeddingVector-is_a-VectorRepresentation","2","","嵌入向量","information","keep","memory-plane","memory-embedding-indexes","嵌入向量","information","EmbeddingVector-is_a-VectorRepresentation","EmbeddingVector-is_a-VectorRepresentation","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","EmbeddingVector-example-positive-001","EmbeddingVector-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"GraphEmbedding","memory-plane","memory-embedding-indexes","图嵌入","information","GraphEmbedding-is_a-Embedding","2","","图嵌入","information","keep","memory-plane","memory-embedding-indexes","图嵌入","information","GraphEmbedding-is_a-Embedding","GraphEmbedding-is_a-Embedding","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","GraphEmbedding-example-positive-001","GraphEmbedding-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"HybridIndex","memory-plane","memory-embedding-indexes","混合索引","entity","HybridIndex-is_a-Index","1","","混索引","entity","keep","memory-plane","memory-embedding-indexes","混合索引","entity","HybridIndex-is_a-Index","HybridIndex-is_a-Index","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","HybridIndex-example-positive-001","HybridIndex-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Index","memory-plane","memory-embedding-indexes","检索索引","entity","","0","unreviewed-v2-root","检索索引","entity","keep","memory-plane","memory-embedding-indexes","检索索引","entity","","","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-haystack-agents|eng-fw-llamaindex-agents","Index-example-positive-001","Index-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexActivity","memory-plane","memory-embedding-indexes","索引处理活动","activity","","0","unreviewed-v2-root","索引处理","activity","keep","memory-plane","memory-embedding-indexes","索引处理活动","activity","","","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-haystack-agents|eng-fw-llamaindex-workflows","IndexActivity-example-positive-001","IndexActivity-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexBuildRun","memory-plane","memory-embedding-indexes","索引构建运行","activity","IndexBuildRun-is_a-IndexActivity","1","","索引构建运行","activity","keep","memory-plane","memory-embedding-indexes","索引构建运行","activity","IndexBuildRun-is_a-IndexActivity","IndexBuildRun-is_a-IndexActivity","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","IndexBuildRun-example-positive-001","IndexBuildRun-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexEntry","memory-plane","memory-embedding-indexes","索引条目","information","","0","unreviewed-v2-root","索引条目","information","keep","memory-plane","memory-embedding-indexes","索引条目","information","","IndexEntry-stores-Representation","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","IndexEntry-example-positive-001","IndexEntry-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexKey","memory-plane","memory-embedding-indexes","索引键","information","","0","unreviewed-v2-root","索引键","information","keep","memory-plane","memory-embedding-indexes","索引键","information","","IndexEntry-keyed_by-IndexKey","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","IndexKey-example-positive-001","IndexKey-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexRefreshEvent","memory-plane","memory-embedding-indexes","索引刷新事件","event","","0","unreviewed-v2-root","索引刷新","event","keep","memory-plane","memory-embedding-indexes","索引刷新事件","event","","","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","IndexRefreshEvent-example-positive-001","IndexRefreshEvent-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexRefreshRun","","","","","","","","索引刷新运行","activity","add","memory-plane","memory-embedding-indexes","索引刷新运行","activity","IndexRefreshRun-is_a-IndexActivity","IndexRefreshRun-is_a-IndexActivity","","","","","new reviewed concept; no v2 record to migrate","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","IndexRefreshRun-example-positive-001","IndexRefreshRun-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexShard","memory-plane","memory-embedding-indexes","索引分片","entity","","0","unreviewed-v2-root","索引分片","entity","keep","memory-plane","memory-embedding-indexes","索引分片","entity","","IndexVersion-contains-IndexShard","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","IndexShard-example-positive-001","IndexShard-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"IndexVersion","memory-plane","memory-embedding-indexes","索引版本","information","","0","unreviewed-v2-root","索引版本","information","keep","memory-plane","memory-embedding-indexes","索引版本","information","","IndexBuildRun-produces-IndexVersion","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","IndexVersion-example-positive-001","IndexVersion-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"Representation","memory-plane","memory-embedding-indexes","表示","information","","0","unreviewed-v2-root","表示","information","keep","memory-plane","memory-embedding-indexes","表示","information","","","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-llamaindex-agents|lit-agent-magma","Representation-example-positive-001","Representation-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"SparseVector","memory-plane","memory-embedding-indexes","稀疏向量","information","SparseVector-is_a-VectorRepresentation","2","","稀疏向量","information","keep","memory-plane","memory-embedding-indexes","稀疏向量","information","SparseVector-is_a-VectorRepresentation","SparseVector-is_a-VectorRepresentation","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-agent-magma","SparseVector-example-positive-001","SparseVector-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TextEmbedding","memory-plane","memory-embedding-indexes","文本嵌入","information","TextEmbedding-is_a-Embedding","2","","文本嵌入","information","keep","memory-plane","memory-embedding-indexes","文本嵌入","information","TextEmbedding-is_a-Embedding","TextEmbedding-is_a-Embedding","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-deepagents-js-docs|eng-proto-mcp-spec","TextEmbedding-example-positive-001","TextEmbedding-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
"TfIdfIndex","memory-plane","memory-embedding-indexes","TF-IDF 索引","entity","TfIdfIndex-is_a-Index","1","","TF-IDF 索引","entity","keep","memory-plane","memory-embedding-indexes","TF-IDF 索引","entity","TfIdfIndex-is_a-Index","TfIdfIndex-is_a-Index","","","","","reviewed without relation replacement","表示与索引按 identity、semantic kind 和主问题唯一拥有该概念。","eng-fw-langchain-agents|lit-mech-compass","TfIdfIndex-example-positive-001","TfIdfIndex-example-boundary-001","moonweave-memory-domain-reviewer","moonweave-ontology-structure-reviewer","moonweave-trilingual-terminology-reviewer","accepted"
